Name,PURL,cURI,Definition,cURI2,URI2
Deposit,http://purl.org/cld/accmeth/deposit,accmeth:deposit,"The permanent addition of items to the collection, where the transfer of ownership is conditional on certain requirements or restrictions, but without financial payment or reciprocal transfer of items.",rdacam:1002,https://www.rdaregistry.info/termList/RDACollectionAccrualMethod/#1002
Donation,http://purl.org/cld/accmeth/donation,accmeth:donation,"The permanent addition of items to the collection through the transfer of ownership, without financial payment.",rdacam:1003,https://www.rdaregistry.info/termList/RDACollectionAccrualMethod/#1003
Purchase,http://purl.org/cld/accmeth/purchase,accmeth:purchase,"The permanent addition of items to the collection through the transfer of ownership, accompanied by one or more financial payments.",rdacam:1005,https://www.rdaregistry.info/termList/RDACollectionAccrualMethod/#1005
Loan,http://purl.org/cld/accmeth/loan,accmeth:loan,"The temporary addition of items to the collection with no transfer of ownership, without financial payment.",rdacam:1001,https://www.rdaregistry.info/termList/RDACollectionAccrualMethod/#1001
License,http://purl.org/cld/accmeth/license,accmeth:license,"The temporary addition of items to the collection with no transfer of ownership, accompanied by one or more financial payments.",rdacam:1004,https://www.rdaregistry.info/termList/RDACollectionAccrualMethod/#1004
Item Creation,http://purl.org/cld/accmeth/itemCreation,accmeth:itemCreation,"The permanent addition of items to the collection as a result of item creation by the owner of the collection.",,
